"","Event.Name","Start.Date.Time","End.Date.Time","Event.Type","Event.Borough","Event.Location"
"2255","Soccer - Non Regulation","03/04/2022 08:00:00 AM","03/04/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Soccer-10 ,Randall's Island Park: Sunken Garden Fields-Soccer-91"
"2256","Covid 19 testing for the public","02/14/2022 07:00:00 AM","02/14/2022 07:00:00 PM","Special Event","Brooklyn","Power Playground: Power Playground"
"2257","Soccer -Regulation","02/19/2022 06:00:00 PM","02/19/2022 10:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"2258","East Bronx Academy PE Class & Afterschool","03/11/2022 07:00:00 AM","03/11/2022 06:00:00 PM","Special Event","Bronx","Seabury Park: Seabury Park"
"2259","Soccer -Regulation","03/06/2022 08:00:00 AM","03/06/2022 10:00:00 AM","Sport - Adult","Queens","Flushing Meadows Corona Park: Soccer-03"
"2260","Celebration","07/30/2022 01:00:00 PM","07/30/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2261","COVID-19 Testing- Star Spangled Playground","02/24/2022 07:00:00 AM","02/24/2022 07:00:00 PM","Special Event","Brooklyn","Star Spangled Playground (IS 117): Star Spangled Playground"
"2262","Mobile COVID-19 Test Site","02/22/2022 08:00:00 AM","02/22/2022 07:00:00 PM","Special Event","Brooklyn","Red Hook Recreation Area: Picnic Area Bay and Colombia"
"2263","Miscellaneous","03/05/2022 10:00:00 AM","03/05/2022 06:00:00 PM","Sport - Youth","Bronx","Williamsbridge Oval: Soccer-01"
"2264","Football - Adults","03/06/2022 08:30:00 AM","03/06/2022 01:00:00 PM","Sport - Adult","Queens","Flushing Meadows Corona Park: Soccer-08 ,Flushing Meadows Corona Park: Soccer-09 ,Kennedy Playground /Raymond O'Connor: Soccer-01"
"2265","Soccer - Non Regulation","03/04/2022 06:00:00 PM","03/04/2022 08:00:00 PM","Sport - Youth","Queens","St. Michael's Playground: Soccer-01"
"2266","East Meadow Winter Closure 11-1-21 thru 4-2-22","03/06/2022 12:00:00 AM","03/06/2022 11:59:00 PM","Special Event","Manhattan","Central Park: East Meadow ,Central Park: East Meadow Picnic Zone ,Central Park: East Meadow Clay Area ,Central Park: East Meadow North Lawn"
"2267","Soccer - Non Regulation","03/04/2022 08:00:00 AM","03/04/2022 05:00:00 PM","Sport - Youth","Brooklyn","Bill Brown Playground: Soccer-01"
"2268","Mobile COVID-19 Test Site","02/24/2022 09:00:00 AM","02/24/2022 07:00:00 PM","Special Event","Brooklyn","Seth Low Playground: Bealin Square"
"2269","Celebration","07/06/2022 03:00:00 PM","07/06/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"2270","Soccer -Regulation","03/05/2022 09:00:00 AM","03/05/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: East River Fields-Soccer-83"
"2271","Mobile COVID-19 Test Site","02/28/2022 08:00:00 AM","02/28/2022 07:00:00 PM","Special Event","Brooklyn","St. John's Park: St. John's Park"
"2272","Basketball","03/04/2022 11:00:00 AM","03/04/2022 01:00:00 PM","Sport - Youth","Bronx","Walton Park: Basketball-01"
"2273","Celebration","10/23/2022 01:00:00 PM","10/23/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2274","Soccer - Non Regulation","03/05/2022 10:00:00 AM","03/05/2022 10:00:00 PM","Sport - Adult","Manhattan","Chelsea Park: Soccer-01"
"2275","Dana Discovery Lawn Winter Closure Oct. 31, 2021 - May 7, 2022","03/05/2022 12:00:00 AM","03/05/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Dana Discovery Center Lawn"
"2276","Soccer -Regulation","03/05/2022 08:00:00 PM","03/05/2022 10:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"2277","NYRR Open Run Inwood Hill Park","03/05/2022 09:00:00 AM","03/05/2022 10:00:00 AM","Special Event","Manhattan","Inwood Hill Park: Inwood Hill Trails"
"2278","Celebration","09/14/2022 12:00:00 PM","09/14/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"2279","Celebration","09/14/2022 02:30:00 PM","09/14/2022 04:30:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"2280","Soccer -Regulation","03/05/2022 10:00:00 AM","03/05/2022 02:00:00 PM","Sport - Youth","Queens","Flushing Meadows Corona Park: Soccer-02"
"2281","Football Ã¢â¬â Flag Football","03/12/2022 08:00:00 AM","03/12/2022 06:00:00 PM","Sport - Youth","Brooklyn","Sternberg Park (Lindsey Park): Football-01"
"2282","Mobile COVID-19 Vaccine","02/18/2022 08:00:00 AM","02/18/2022 06:00:00 PM","Special Event","Brooklyn","Herbert Von King Park: Lafayette Avenue BBQ Area near Baseball Field"
"2283","Mobile COVID-19 Test Site","02/16/2022 08:00:00 AM","02/16/2022 07:00:00 PM","Special Event","Brooklyn","St. John's Park: St. John's Park"
"2284","East Green Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","03/05/2022 12:00:00 AM","03/05/2022 11:59:00 PM","Special Event","Manhattan","Central Park: East 72nd Street Playground Lawns"
"2285","Celebration","06/23/2022 12:00:00 PM","06/23/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2286","Twelfth Night performed by the Hunts Point Children's Shakespeare Ensemble","05/15/2022 04:00:00 PM","05/15/2022 07:00:00 PM","Special Event","Bronx","Playground 52 LII: Concert Area"
"2287","CTS  Covid -19 testing for the public","02/01/2022 07:00:00 AM","02/28/2022 07:00:00 PM","Street Event","Brooklyn","WYCKOFF AVENUE between GATES AVENUE and LINDEN STREET"
"2288","Celebration","07/27/2022 02:00:00 PM","07/27/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2289","Soccer -Regulation","03/13/2022 02:00:00 PM","03/13/2022 06:30:00 PM","Sport - Youth","Staten Island","Bloomingdale Park: Soccer-01"
"2290","Mobile COVID-19 Test Site","03/11/2022 08:00:00 AM","03/11/2022 07:00:00 PM","Special Event","Staten Island","Wolfe's Pond Park: Lawn"
"2291","Baseball - 12 and Under (Little League)","02/27/2022 08:00:00 AM","02/27/2022 04:00:00 PM","Sport - Youth","Brooklyn","Dimattina Playground: Softball-01"
"2292","Celebration","09/03/2022 11:00:00 AM","09/03/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2293","Football Ã¢â¬â Flag Football","03/06/2022 10:00:00 AM","03/06/2022 10:00:00 PM","Sport - Youth","Staten Island","Blood Root Valley: Greenbelt Recreation Center-Soccer-01 ,Gen. Douglas MacArthur Park: Multi-Use Field-01"
"2294","Football - Youth","03/04/2022 12:00:00 PM","03/04/2022 08:00:00 PM","Sport - Youth","Brooklyn","Kaiser Park: Football-01"
"2295","Soccer -Regulation","02/20/2022 05:00:00 PM","02/20/2022 08:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"2296","Lacrosse","03/04/2022 01:00:00 PM","03/04/2022 07:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Soccer-04A"
"2297","Soccer -Regulation","02/16/2022 10:00:00 AM","02/16/2022 09:30:00 PM","Sport - Adult","Bronx","Macombs Dam Park: Soccer-01"
"2298","Diana Ross Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","02/14/2022 12:00:00 AM","02/14/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Diana Ross Playground Lawn"
"2299","Lawn Closure of Sol Lewitt Lawn","03/06/2022 12:01:00 AM","03/06/2022 12:00:00 PM","Special Event","Manhattan","Madison Square Park: Sol Lewitt / 25th St Lawn South"
"2300","Soccer - Non Regulation","03/06/2022 08:00:00 AM","03/06/2022 06:00:00 PM","Sport - Youth","Brooklyn","Dyker Beach Park: Dyker 14th Ave-Soccer-03"
"2301","Celebration","05/30/2022 11:00:00 AM","05/30/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2302","Celebration","05/07/2022 01:00:00 PM","05/07/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2303","Football - Youth","02/23/2022 09:00:00 AM","02/23/2022 08:00:00 PM","Sport - Youth","Bronx","Macombs Dam Park: Soccer-01 ,Soundview Park: Soccer-01"
"2304","Mobile COVID-19 Test Site","02/27/2022 08:00:00 AM","02/27/2022 07:00:00 PM","Special Event","Brooklyn","St. John's Park: St. John's Park"
"2305","Soccer - Non Regulation","02/26/2022 04:00:00 PM","02/26/2022 05:30:00 PM","Sport - Youth","Manhattan","Eugene McCabe Field: Soccer-01"
"2306","Soccer - Non Regulation","02/25/2022 03:00:00 PM","02/25/2022 06:00:00 PM","Sport - Youth","Manhattan","Chelsea Park: Soccer-01 ,Corlears Hook Park: Soccer-01"
"2307","Soccer - Non Regulation","03/04/2022 01:00:00 PM","03/04/2022 09:00:00 PM","Sport - Youth","Staten Island","Bloomingdale Park: Youth Soccer-01 ,Freshkills Park: Owl Hollow-Soccer-3"
"2308","Football Ã¢â¬â Flag Football","02/26/2022 08:00:00 AM","02/26/2022 02:00:00 PM","Sport - Youth","Manhattan","Highbridge Park: Softball-03"
"2309","2022 No Amplified Sound","03/12/2022 07:00:00 AM","03/12/2022 08:00:00 PM","Special Event","Manhattan","Jackie Robinson Park: Bandshell"
"2310","Covid 19 testing for the public","02/18/2022 07:00:00 AM","02/18/2022 07:00:00 PM","Special Event","Brooklyn","Power Playground: Power Playground"
"2311","Soccer -Regulation","03/06/2022 05:00:00 PM","03/06/2022 08:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"2312","Covid 19 testing for the public","02/22/2022 07:00:00 AM","02/22/2022 07:00:00 PM","Special Event","Brooklyn","Power Playground: Power Playground"
"2313","Celebration","09/09/2022 02:00:00 PM","09/09/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2314","Outdoor Learning -BP International Elementary School","03/07/2022 08:00:00 AM","03/07/2022 03:00:00 PM","Special Event","Brooklyn","Cadman Plaza Park: North Lawn"
"2315","Outdoor Learning- PS 39K- DOE","03/07/2022 09:00:00 AM","03/07/2022 02:00:00 PM","Special Event","Brooklyn","Prospect Park: Bandshell South"
"2316","Soccer - Non Regulation","03/13/2022 09:30:00 AM","03/13/2022 11:30:00 AM","Sport - Adult","Bronx","Van Cortlandt Park: Stadium-Soccer-08"
"2317","Soccer -Regulation","03/13/2022 10:00:00 AM","03/13/2022 09:30:00 PM","Sport - Adult","Bronx","Macombs Dam Park: Soccer-01"
"2318","Celebration","07/09/2022 04:00:00 PM","07/09/2022 06:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2319","Football - Youth","03/06/2022 09:00:00 AM","03/06/2022 08:00:00 PM","Sport - Youth","Bronx","Macombs Dam Park: Soccer-01 ,Soundview Park: Soccer-01"
"2320","Outdoor Learning - Notre Dame School Private","03/11/2022 12:00:00 PM","03/11/2022 02:00:00 PM","Special Event","Manhattan","Corporal John A. Seravalli Playground: Corporal John A. Seravalli Playground"
"2321","Celebration","10/08/2022 11:00:00 AM","10/08/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2322","Covid 19 testing site","02/22/2022 07:00:00 AM","02/22/2022 07:00:00 PM","Special Event","Brooklyn","Lt. Petrosino Park: Lt. Joseph Petrosino Park"
"2323","Celebration","06/22/2022 02:00:00 PM","06/22/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Shakespeare Garden"
"2324","Soccer -Regulation","02/17/2022 05:00:00 PM","02/17/2022 09:00:00 PM","Sport - Youth","Bronx","Soundview Park: Soccer-01"
"2325","Soccer - Non Regulation","02/19/2022 08:00:00 AM","02/19/2022 12:00:00 PM","Sport - Adult","Manhattan","Chelsea Park: Soccer-01"
"2326","Soccer - Non Regulation","03/04/2022 08:00:00 AM","03/04/2022 10:00:00 PM","Sport - Adult","Brooklyn","Bush Terminal Park: Soccer-01"
"2327","Miscellaneous","02/20/2022 09:00:00 AM","02/20/2022 01:00:00 PM","Sport - Youth","Brooklyn","Ten Eyck Playground (PS 196): Multi Purpose Play Area-01"
"2328","Soccer - Non Regulation","02/17/2022 10:00:00 AM","02/17/2022 06:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"2329","Soccer - Non Regulation","03/03/2022 08:00:00 PM","03/03/2022 11:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"2330","Locals Surf School","03/05/2022 09:00:00 AM","03/05/2022 01:00:00 PM","Special Event","Queens","Rockaway Beach and Boardwalk: Beach 67th Street Surfing Beach"
"2331","TAMEERAH BIRTHDAY BBQ","06/25/2022 12:00:00 PM","06/25/2022 07:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House North"
"2332","Frisbee","03/05/2022 10:00:00 AM","03/05/2022 03:00:00 PM","Sport - Adult","Manhattan","East River Park: Soccer-02 Grand Street"
"2333","Soccer -Regulation","02/20/2022 08:00:00 AM","02/20/2022 10:30:00 PM","Sport - Adult","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Soccer-10"
"2334","Celebration","07/23/2022 10:00:00 AM","07/23/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2335","Reservoir North Lawn Winter Closure Dec.2, 2021 - May 7, 2022","02/24/2022 12:00:00 AM","02/24/2022 11:59:00 PM","Special Event","Manhattan","Central Park: North Reservoir Landscape A ,Central Park: North Reservoir Landscape B ,Central Park: North Reservoir Landscape C"
"2336","Soccer - Non Regulation","03/03/2022 06:00:00 PM","03/03/2022 10:00:00 PM","Sport - Adult","Brooklyn","Leif Ericson Park: Dust Bowl-Football-01"
"2337","Frisbee Hill Winter Closure Nov. 29, 2021 - April 2, 2022","03/13/2022 12:00:00 AM","03/13/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Frisbee Hill"
"2338","Soccer - Non Regulation","03/05/2022 10:00:00 AM","03/05/2022 02:00:00 PM","Sport - Youth","Brooklyn","Newtown Barge Playground: Soccer-01"
"2339","Hockey","03/05/2022 08:00:00 AM","03/05/2022 02:00:00 PM","Sport - Youth","Bronx","Bufano Park: Hockey-01"
"2340","Covid 19 testing for the public","02/25/2022 07:00:00 AM","02/25/2022 07:00:00 PM","Special Event","Brooklyn","Power Playground: Power Playground"
"2341","Soccer - Non Regulation","03/06/2022 12:00:00 PM","03/06/2022 05:30:00 PM","Sport - Adult","Manhattan","Booker T. Washington Playground: Soccer-01"
"2342","Union Square Greenmarket","03/04/2022 08:00:00 AM","03/04/2022 07:00:00 PM","Special Event","Manhattan","Union Square Park: North Plaza ,Union Square Park: South Plaza ,Union Square Park: West Plaza"
"2343","Soccer -Regulation","03/04/2022 01:00:00 PM","03/04/2022 03:00:00 PM","Sport - Adult","Manhattan","Riverside Park: 107th/108th St-Soccer-01 E"
"2344","Celebration","07/03/2022 03:00:00 PM","07/03/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2345","Mobile COVID-19 Test Site","02/22/2022 07:00:00 AM","02/22/2022 09:00:00 PM","Special Event","Queens","Travers Park: Travers Park"
"2346","Easter Egg Hunt: Grown Folks Edition","04/16/2022 01:00:00 PM","04/16/2022 05:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House North"
"2347","Celebration","05/26/2022 05:00:00 PM","05/26/2022 07:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2348","Alley Pond Park Forest Restoration","03/04/2022 10:00:00 AM","03/04/2022 12:00:00 PM","Special Event","Queens","Alley Pond Park: Parking Lot 01 - Springfield"
"2349","Celebration","04/23/2022 02:00:00 PM","04/23/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"2350","Football - Adults","02/16/2022 08:30:00 AM","02/16/2022 10:00:00 PM","Sport - Adult","Staten Island","Gen. Douglas MacArthur Park: Multi-Use Field-01"
"2351","Outdoor Learning -BP International Elementary School","03/04/2022 08:00:00 AM","03/04/2022 03:00:00 PM","Special Event","Brooklyn","Cadman Plaza Park: North Lawn"
"2352","Mobile COVID-19 Test Site","02/20/2022 08:00:00 AM","02/20/2022 07:00:00 PM","Special Event","Brooklyn","St. John's Park: St. John's Park"
"2353","NYRR Open Run Conference House Park","03/06/2022 09:00:00 AM","03/06/2022 10:00:00 AM","Special Event","Staten Island","Conference House Park: Conference House Park"
"2354","Celebration","10/15/2022 11:00:00 AM","10/15/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2355","NYC Surfing Surf School","03/04/2022 08:00:00 AM","03/04/2022 03:00:00 PM","Special Event","Queens","Rockaway Beach and Boardwalk: Beach 67th Street Surfing Beach"
"2356","Outdoor Learning - Notre Dame School Private","03/04/2022 12:00:00 PM","03/04/2022 02:00:00 PM","Special Event","Manhattan","Corporal John A. Seravalli Playground: Corporal John A. Seravalli Playground"
"2357","RRT- Covid 19 testing and Vaccine for the public","02/15/2022 07:00:00 AM","02/15/2022 07:00:00 PM","Special Event","Brooklyn","Coffey Park: Coffey Park"
"2358","Soccer - Non Regulation","03/05/2022 12:00:00 PM","03/05/2022 03:00:00 PM","Sport - Adult","Manhattan","Marx Brothers Playground: Soccer-01"
"2359","Picnic House","10/14/2022 12:00:00 PM","10/14/2022 05:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House South ,Prospect Park: Picnic House"
"2360","Covid 19 testing site","02/22/2022 12:00:00 AM","02/22/2022 07:00:00 PM","Special Event","Queens","Maple Playground: Maple Playground"
"2361","Soccer - Non Regulation","03/05/2022 10:00:00 AM","03/05/2022 04:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: East River Fields-Soccer-84"
"2362","Celebration","09/18/2022 02:00:00 PM","09/18/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2363","Mobile COVID-19 Test Site","03/05/2022 08:00:00 AM","03/05/2022 07:00:00 PM","Special Event","Staten Island","Wolfe's Pond Park: Lawn"
"2364","Covid 19 testing site","02/27/2022 07:00:00 AM","02/27/2022 07:00:00 PM","Special Event","Brooklyn","Lt. Petrosino Park: Lt. Joseph Petrosino Park"
"2365","2022 Times Square Valentine Heart","03/01/2022 12:00:00 AM","03/01/2022 11:59:00 PM","Special Event","Manhattan","Father Duffy Square: Father Duffy Square"
"2366","Frisbee Hill Winter Closure Nov. 29, 2021 - April 2, 2022","03/11/2022 12:00:00 AM","03/11/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Frisbee Hill"
"2367","Covid 19 testing site","02/14/2022 07:00:00 AM","02/14/2022 07:00:00 PM","Special Event","Manhattan","Morningside Park: West 110th St Sidewalk Perimeter"
"2368","Dana Discovery Lawn Winter Closure Oct. 31, 2021 - May 7, 2022","03/14/2022 12:00:00 AM","03/14/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Dana Discovery Center Lawn"
"2369","Covid 19 testing for the public","02/26/2022 07:00:00 AM","02/26/2022 07:00:00 PM","Special Event","Queens","Alley Pond Park: Parking Lot 01 - Springfield"
"2370","Mobile COVID-19 Test Site","03/03/2022 08:00:00 AM","03/03/2022 07:00:00 PM","Special Event","Bronx","St. James Park: St. James Park"
"2371","Outdoor Learning Initiative","03/14/2022 09:00:00 AM","03/14/2022 01:00:00 PM","Special Event","Brooklyn","Irving Square Park: Irving Square Park"
"2372","Party","05/14/2022 01:00:00 PM","05/14/2022 05:00:00 PM","Special Event","Queens","Cunningham Park: Picnic Pink 1"
"2373","Picnic House","07/03/2022 12:00:00 PM","07/03/2022 05:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House South ,Prospect Park: Picnic House"
"2374","Celebration","07/24/2022 10:00:00 AM","07/24/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2375","Lacrosse","03/14/2022 04:30:00 PM","03/14/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: Wards Meadow Fields-Soccer-72"
"2376","Turtle Pond Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","03/14/2022 12:00:00 AM","03/14/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Turtle Pond Lawn"
"2377","Baseball - 13 and Older (Little League)","05/02/2022 03:00:00 PM","05/02/2022 06:00:00 PM","Sport - Youth","Bronx","Van Cortlandt Park: Stadium-Baseball-03"
"2378","Lawn Closure of Redbud Lawn","03/14/2022 12:01:00 AM","03/14/2022 12:00:00 PM","Special Event","Manhattan","Madison Square Park: Redbud Lawn"
"2379","Dairy Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","03/14/2022 12:00:00 AM","03/14/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Dairy Lawn"
"2380","Lawn Closure of Sol Lewitt Lawn","03/14/2022 12:01:00 AM","03/14/2022 12:00:00 PM","Special Event","Manhattan","Madison Square Park: Sol Lewitt / 25th St Lawn South"
"2381","NPS.OutdoorLearningschools.nyc.gov","03/14/2022 08:00:00 AM","03/14/2022 03:00:00 PM","Special Event","Queens","Travers Park: Performance Area"
"2382","Outdoor Learning - German School Brooklyn - Private","03/14/2022 11:00:00 AM","03/14/2022 02:00:00 PM","Special Event","Brooklyn","Commodore Barry Park: Softball-02"
"2383","Soccer - Non Regulation","03/05/2022 08:00:00 AM","03/05/2022 07:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Soccer-10 ,Randall's Island Park: Sunken Garden Fields-Soccer-91"
"2384","Mobile COVID-19 Test Site","02/25/2022 08:00:00 AM","02/25/2022 07:00:00 PM","Special Event","Brooklyn","Red Hook Recreation Area: Picnic Area Bay and Colombia"
"2385","Soccer -Regulation","03/12/2022 08:00:00 AM","03/12/2022 10:00:00 PM","Sport - Adult","Manhattan","Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: Wards Meadow Fields-Soccer-73"
"2386","Lacrosse","02/26/2022 12:00:00 PM","02/26/2022 03:00:00 PM","Sport - Youth","Manhattan","Wagner Playground: Soccer-01"
"2387","Soccer - Non Regulation","03/06/2022 09:00:00 AM","03/06/2022 02:00:00 PM","Sport - Youth","Manhattan","Eugene McCabe Field: Soccer-01"
"2388","Soccer - Non Regulation","03/05/2022 08:00:00 AM","03/05/2022 02:00:00 PM","Sport - Youth","Queens","Forest Park: Soccer-01"
"2389","Covid 19 testing for the public","02/23/2022 07:00:00 AM","02/23/2022 07:00:00 PM","Special Event","Brooklyn","Power Playground: Power Playground"
"2390","Mobile COVID-19 Vaccine","02/26/2022 08:00:00 AM","02/26/2022 07:00:00 PM","Special Event","Brooklyn","100% Playground: 100% Playground"
"2391","Soccer - Non Regulation","03/06/2022 09:00:00 AM","03/06/2022 12:00:00 PM","Sport - Youth","Bronx","Harris Park: Soccer-01"
"2392","Covid 19 testing for the public","02/17/2022 07:00:00 AM","02/17/2022 07:00:00 PM","Special Event","Brooklyn","Power Playground: Power Playground"
"2393","Mobile COVID-19 Test Site","02/20/2022 08:00:00 AM","02/20/2022 07:00:00 PM","Special Event","Brooklyn","Red Hook Recreation Area: Picnic Area Bay and Colombia"
"2394","Celebration","09/10/2022 02:00:00 PM","09/10/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"2395","Celebration","07/19/2022 10:00:00 AM","07/19/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2396","Soccer - Non Regulation","03/03/2022 06:00:00 PM","03/03/2022 10:00:00 PM","Sport - Adult","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74"
"2397","Outdoor Learning - PS149Q - DOE","03/04/2022 08:00:00 AM","03/04/2022 03:00:00 PM","Special Event","Queens","Northern Playground: Northern Playground"
"2398","Miscellaneous","03/05/2022 10:00:00 AM","03/05/2022 05:00:00 PM","Sport - Adult","Manhattan","East River Park: Soccer-03 Houston St & FDR  ,Riverside Park: 101st St-Soccer-04 C ,Riverside Park: 103rd St-Soccer-02 D ,Riverside Park: 107th/108th St-Soccer-01 E ,Frederick Douglass Playground: Soccer-01"
"2399","Soccer - Non Regulation","03/05/2022 09:00:00 AM","03/05/2022 10:00:00 PM","Sport - Adult","Queens","Astoria Park: Soccer-01"
"2400","Soccer -Regulation","03/04/2022 08:00:00 AM","03/04/2022 10:00:00 PM","Sport - Youth","Staten Island","Freshkills Park: Owl Hollow-Soccer-3"
"2401","Mobile COVID-19 Test Site","02/23/2022 08:00:00 AM","02/23/2022 07:00:00 PM","Special Event","Queens","Bayswater Park: Performance Space"
"2402","Celebration","06/22/2022 12:00:00 PM","06/22/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"2403","Soccer - Non Regulation","03/03/2022 06:00:00 PM","03/03/2022 08:00:00 PM","Sport - Youth","Queens","St. Michael's Playground: Soccer-01"
"2404","Soccer - Non Regulation","03/05/2022 09:00:00 AM","03/05/2022 05:00:00 PM","Sport - Youth","Brooklyn","South Oxford Park: Lawn"
"2405","Soccer -Regulation","02/21/2022 08:00:00 PM","02/21/2022 10:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"2406","Mobile COVID-19 Test Site","03/04/2022 10:00:00 AM","03/04/2022 07:00:00 PM","Special Event","Staten Island","Conference House Park: Beach Page Ave Conference House Park"
"2407","Soccer -Regulation","03/06/2022 08:00:00 AM","03/06/2022 05:00:00 PM","Sport - Youth","Staten Island","Cpl. Thompson Park: Soccer-01"
"2408","Soccer - Non Regulation","02/27/2022 10:00:00 AM","02/27/2022 02:00:00 PM","Sport - Youth","Brooklyn","McCarren Park: Soccer-01"
